Element,Count
"b'\x06\x88,\x96\xa3k+\xfc\xe2\x04\x01\xbb\x06'",11276
b'\x82\x08\xe6\xe4\xff\x0b+\xfc\xe0\x9b\x00P\x06',11271
b'E\x0c\xd5\xf5\x82\x15\xdd.\xdc\xed\x00P\x06',11210
b'\xca\xd7\x80\x8b\x08G\x01`\xa7z\x01\xbb\x06',11189
"b""l\xd7'\xb9\xc3g\x01`\xa76\x01\xbb\x06""",11185
b'u_e\xed\xe3\xd4+\xfc\xe1P\x00P\x06',11167
b'f\x06\x9c\x92\xd5~\xdd.\xdc\xe3\x00P\x06',11110
b'H\r\n7\xc6\xf8o\xcd\xe4x\x1f\x90\x11',11082
b'lw\x0e\xd2\x00P2\xf0\\$\xde\x8a\x06',11074
b'w\xe2\xc0D`\x9e\x01`\xa6\xc7\x01\xbb\x06',10938
b'z\x00xB\xc9>+\xfc\xe2\x18\x00P\x06',10936
b'w\xea\x85\x04\xba\x04\x01`\xa6\xf0\x01\xbb\x06',10795
"b'\xd38 I%\n\xdd.\xdd,\xd0\x9e\x06'",10723
b'<\x8f+\xc4\xbe\xdfo\xcd\xe4\xf7\xda\r\x06',10715
b'\xcf\x88\xd9s:\xf1\x01`\xa6\xcc\x01\xbb\x06',10686
b'w\xea\xef\x0b\x15\x03\x01`\xa6\xf0\x01\xbb\x06',10622
b'\x11*\xab\xcb\xc0\x8a+\xe0\x9e\xf8\xc8\xd5\x11',10618
b'#\n\xd7\x0f\xca\xf3h\xef\x88\xb6\xf4\x9f\x11',10617
b'\xb7\xc3\xea\xc6\xced+\xfc\xe2\x1a\x00P\x06',10574
b'\x1c^\xc2\xd5\xe3\xee\x01`\xa7z\x01\xbb\x06',10551
b'\x80-f.QD\x01`\xa7F\x01\xbb\x06',10530
b'\x1cF\xbf\xe3\xcc\x80\x01`\xa7\x11\x01\xbb\x06',10506
b'\xc7\xe8~#\xb4\xd0\xdd.\xdc\xf0\x00P\x06',10492
b'\xcf\x88\xe6\x1d9\xf4\x01`\xa6\xcc\x01\xbb\x06',10463
b'\xab\xa5\xc3\xd5\x00Po%\xc8A\x82\xe7\x06',10450
b'+\x13\x0f\xd9\x8bB\xdd.\xdc\xf2\x00P\x06',10426
b'\x80\n\x1d\n\xe4v\x01`\xa6\xc7\x01\xbb\x06',10419
b'\xcf\x88\xb0;\x83\x03\x01`\xa6\xd5\x01\xbb\x06',10370
b'A\xad6_\x00P\x99\xc1u<\x91\xf2\x06',10361
b'G\xac_G\xd0\x0co\xcd\xe4p\x04\xaa\x11',10345
b'r\x03\x0eu\xfa\x01+\xfc\xe2\x07\x00P\x06',10343
b'\xc7\xe8~\x1c\xe9\xde\xdd.\xdc\xf3\x00P\x06',10314
b'\x82\r~B\xc1\xb2+\xfc\xe2\x07\x00P\x06',10306
b'H\x15\xa4\xe0\xd2&o\xcd\x19\xe5\x1f\x90\x11',10300
b'l\x19\xe6\x88\xe4\xde\x01`\xa7\xec\x01\xbb\x06',10292
b'\xcf\x8aJ6K\xb8\x01`\xa6\xcc\x01\xbb\x06',10288
b'\xcf\x88\x8e\xa2\xdc\xce\x01`\xa6\xcc\x01\xbb\x06',10247
b'\xd8\x1en\xff\x01\xbbI\xf0\xa7\x85\x8b\xbc\x06',10210
b'F8\x9a\x9f\x84o\x05\xfczS\x00P\x06',10204
b'rn\xe8\x99 \x8d\x03\x84%\xdd\xab\xa6\x06',10194
b'\x9b\x8a\x83\x1c\x00Po\xcd\xe4e\xe8\xd7\x06',10175
b'+\xcd\xee\x82\x9en\x99\xc1.-\x01\xbb\x06',10147
b'\xd2-\xb8%\x00\x16\xd2lx\x00kO\x06',10127
b'\xcf\x88\xba(\x98\x04\x01`\xa6\xd5\x01\xbb\x06',10106
b'\x82\t\t\xde\xce\xd4+\xfc\xe1P\x00P\x06',10074
b'\x89\xe3.\xd4\x00P\x99\xc1u/\x9a\xef\x06',10045
"b""'\xb7$\xfdTp\x01`\xba\xc6\x01\xbb\x06""",9954
b'\xcf\xbe\xe0\xc5\xe5\x88\x01`\xa6\xfa\x01\xbb\x06',9892
b'\x99\xc1\x86\x99\x01\xbb+\xfc\xe0\x1e\xa8\xcd\x06',9886
b'z\t\xfa\x08\xcd\xbc+\xfc\xe2\x1a\x00P\x06',9818
b'l!\xc7\xb3\xc7\xe2\x01`\xa7\xec\x01\xbb\x06',9800
b'\xde\x1c\xc1z\xc8\xd5\x89 \x19%QJ\x11',9785
b'\x1c^\xc2\xd5\xe3\xef\x01`\xa7z\x01\xbb\x06',9778
b'\xc5Z\xee\xf1/P+\xfc\xe2\x07\x00P\x06',9748
b'\xd0\xcd\xf6\xe0\x07\x8fI\x06\xce\x02\xf88\x06',9731
"b'\x82\x05\xd0\xc8\xc8""+\xfc\xe1%\x00P\x06'",9652
b'\x90\xbaW\xfd\x85q+\xfc\xe2\x04\x00P\x06',9652
"b""~g\xc51\xc2'+\xfc\xe1\x11\x00P\x06""",9645
b'Y\xf2\xda\x01=\xfao\xcd\xe4U\xcfL\x11',9640
b'o\xfd\x80\xfd\xd7mo\xcd\x19\xe7\x1f\x90\x11',9637
b'\xdc\x1bP\xe6\x00P++(\x11\x91\x01\x06',9588
b'\xb7\xfe\x15l\xc8\xa9+\xfc\xe2\x1b\x00P\x06',9568
b'\xac\xd2+T\x01\xbb+\xfc\xe0\x0f\xbdL\x06',9560
b'\x99\xc1\x977\x00P+\xfc\xe0\x14\xf4_\x06',9552
b'++/\xdc\x00P++(\x18\xfb\x99\x06',9535
b'p\xe5@\xd6\xc1\xf6+\xfc\xe2%\x00P\x06',9533
"b""pn\x0f')\x9e\x01`\xa7z\x01\xbb\x06""",9511
"b""\x82'0.\xe2i+\xfc\xe2%\x01\xbb\x06""",9494
b'\x82&\xd4m\xc5M+\xfc\xe2\x1b\x00P\x06',9434
b'\x8bv\xab6\xc1J+\xfc\xe0$\x00P\x06',9418
b'f\x06\x98\xc3\x81`\xdd.\xdc\xf0\x00P\x06',9409
b'\xcf\x88\x8a\x83\x91\xa3\x01`\xa6\xd5\x01\xbb\x06',9395
b'\x89\xe3\xc5o\xea\xf7\xdd.\xdc\xf0\x00P\x06',9371
b'\x91\xf9\x9a3\xcb[o\xcd\xe4v\x04\xaa\x11',9362
b'\xc5Z\xee\xf0\x82G+\xfc\xe2\x07\x00P\x06',9348
b'\x99\xc1\x8f\x14\x00P+\xfc\xe0\x1f\xd7\xb9\x06',9328
b'\xb7\xec\x87\x80\xd7\xc8\x03\x85&$\xb9\xa3\x11',9313
b'+\t\xcc\xcf\xab\xc0\xdd.\xdd\xc6#S\x11',9295
b'l*\xf2|\xdf\xa1\x01`\xa6\xfa\x01\xbb\x06',9270
b'D\x19\xeb\xc2\xae\xcbo\xcd\xe4q\x01\xbb\x06',9250
b'pw\xca\xfd\x80\x1c\x01`\xa7\xca\x01\xbb\x06',9246
b'\xb8ac\x02\xc14o\xcd\xe4\xf6\xeb\x9b\x06',9239
b'nu\xd9\xd1\xf2\xabh\xef\x88\xbc\x1f\x90\x11',9195
"b'c\x9e,\xb3\xcf\x85\x03\xf8o9\x08A\x06'",9182
b'f(j\x8e\xb2uo\xcd\xe4\x9c\x93\xb2\x11',9133
b'\x80-f\xe9\x8d\x15\x01`\xa6\xb8\x01\xbb\x06',9115
b'#\xf0\xc2\xce\xdb\x929#\x96\xf6dV\x11',9110
b'++/\xe4\x00P++(\x13I9\x06',9087
"b""\x99\xc1\xe9\xa6\x00P'\x16\x08\xbf\xcao\x06""",9073
b'\x7f\xd1\xab!\xd4\x8d+\xfc\xe2\x18\x00P\x06',9065
